"c_table","c_facet","c_cid"
"Microscopy:Scan","{""and"": [{""source"": ""id"", ""choices"": [""9302""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""32Z4""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""32Z4""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": ""RID"", ""choices"": [""32ZA""]}]}","record"
"Microscopy:scan_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""scan_comments_Scan id_fkey""]}, ""RID""], ""choices"": [""32ZA""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, ""RID""], ""choices"": [""32ZA""]}]}","record"
"Microscopy:Slide","{""and"": [{""source"": ""RID"", ""choices"": [""1000""]}]}","record"
"Microscopy:slide_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""slide_comments_Slide ID_fkey""]}, ""RID""], ""choices"": [""1000""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""Scan_Slide ID_fkey""]}, ""RID""], ""choices"": [""1000""]}]}","record"
"Microscopy:Slide","{""and"": [{""source"": ""RID"", ""choices"": [""1000""]}]}","record"
"Microscopy:slide_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""slide_comments_Slide ID_fkey""]}, ""RID""], ""choices"": [""1000""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""Scan_Slide ID_fkey""]}, ""RID""], ""choices"": [""1000""]}]}","record"
"Microscopy:Slide","{""and"": [{""source"": ""RID"", ""choices"": [""1000""]}]}","record"
"Microscopy:slide_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""slide_comments_Slide ID_fkey""]}, ""RID""], ""choices"": [""1000""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""Scan_Slide ID_fkey""]}, ""RID""], ""choices"": [""1000""]}]}","record"
"Microscopy:Collection","{""and"": [{""source"": ""RID"", ""choices"": [""2Y40""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": [{""inbound"": [""Microscopy"", ""collection_scan_Scan ID_fkey""]}, {""outbound"": [""Microscopy"", ""collection_scan_Collection ID_fkey""]}, ""RID""], ""choices"": [""2Y40""]}]}","record"
"Microscopy:Slide","{""and"": [{""source"": ""RID"", ""choices"": [""32SW""]}]}","record"
"Microscopy:slide_comments","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""slide_comments_Slide ID_fkey""]}, ""RID""], ""choices"": [""32SW""]}]}","record"
"Microscopy:Scan","{""and"": [{""source"": [{""outbound"": [""Microscopy"", ""Scan_Slide ID_fkey""]}, ""RID""], ""choices"": [""32SW""]}]}","record"
"Microscopy:Slide","{""and"": [{""source"": ""RID"", ""choices"": [""32T8""]}]}","record"
