"c_table","c_facet"
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Slide","{""and"": [{""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Scans""}]}"
"Microscopy:Slide",NULL
"Microscopy:Slide","{""and"": [{""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Scans""}]}"
"Microscopy:Slide","{""and"": [{""ranges"": [{""min"": 0}, {""max"": 1}], ""source"": ""Number of Scans""}]}"
"Microscopy:Collection",NULL
"Microscopy:Collection",NULL
"Microscopy:Collection",NULL
"Microscopy:Collection",NULL
"Microscopy:Collection",NULL
"Microscopy:Collection",NULL
"Microscopy:Collection",NULL
"Microscopy:Collection",NULL
"Microscopy:Collection",NULL
"Microscopy:Collection",NULL
"Microscopy:Collection",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan",NULL
"Microscopy:Scan","{""and"": [{""search"": [""KL""], ""source"": ""*""}]}"
"Microscopy:Scan","{""and"": [{""search"": [""KL""], ""source"": ""*""}]}"
"Microscopy:Scan","{""and"": [{""search"": [""KL""], ""source"": ""*""}]}"
"Microscopy:Scan","{""and"": [{""search"": [""KLRG2""], ""source"": ""*""}]}"
"Microscopy:Scan","{""and"": [{""search"": [""KLRG2""], ""source"": ""*""}]}"
"Microscopy:Scan","{""and"": [{""search"": [""KLRG2""], ""source"": ""*""}]}"
"Microscopy:Scan","{""and"": [{""search"": [""AD""], ""source"": ""*""}]}"
"Microscopy:Scan","{""and"": [{""search"": [""AD""], ""source"": ""*""}]}"
"Microscopy:Scan","{""and"": [{""search"": [""AD""], ""source"": ""*""}]}"
"Microscopy:Scan","{""and"": [{""search"": [""ADGR""], ""source"": ""*""}]}"
"Microscopy:Scan","{""and"": [{""search"": [""ADGR""], ""source"": ""*""}]}"
"Microscopy:Scan","{""and"": [{""search"": [""ADGR""], ""source"": ""*""}]}"
"Microscopy:Scan","{""and"": [{""search"": [""ADGRG6""], ""source"": ""*""}]}"
