"c_table","c_facet","c_cid"
"isa:project","{""and"": [{""source"": ""RID"", ""choices"": [""1WX0""]}]}","recordedit"
"_acl_admin:group_lists",NULL,"recordedit"
"isa:project","{""and"": [{""source"": ""RID"", ""choices"": [""1WWT""]}]}","recordedit"
"_acl_admin:group_lists",NULL,"recordedit"
"_acl_admin:group_lists",NULL,"recordedit"
"_acl_admin:group_lists","{""and"": [{""search"": [""visel""], ""source"": ""*""}]}","recordedit"
"_acl_admin:group_lists",NULL,"recordedit"
"_acl_admin:group_lists","{""and"": [{""search"": [""visel""], ""source"": ""*""}]}","recordedit"
"_acl_admin:group_lists","{""and"": [{""search"": [""visel""], ""source"": ""*""}]}","recordedit"
"_acl_admin:group_lists","{""and"": [{""search"": [""visel""], ""source"": ""*""}]}","recordedit"
"_acl_admin:group_lists",NULL,"recordedit"
"_acl_admin:group_lists",NULL,"recordedit"
"_acl_admin:group_lists",NULL,"recordedit"
"_acl_admin:group_lists",NULL,"recordedit"
"isa:project",NULL,"recordedit"
"isa:project",NULL,"recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""3RTA""]}]}","recordedit"
"isa:project",NULL,"recordedit"
"isa:project",NULL,"recordedit"
"isa:project","{""and"": [{""search"": [""visel""], ""source"": ""*""}]}","recordedit"
"isa:project","{""and"": [{""search"": [""visel""], ""source"": ""*""}]}","recordedit"
"isa:project","{""and"": [{""search"": [""visel""], ""source"": ""*""}]}","recordedit"
"isa:project","{""and"": [{""search"": [""visel""], ""source"": ""*""}]}","recordedit"
"isa:project",NULL,"recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""3RTA""]}]}","recordedit"
"isa:project","{""and"": [{""source"": ""RID"", ""choices"": [""1WX0""]}]}","recordedit"
"isa:project","{""and"": [{""source"": ""RID"", ""choices"": [""1WX0""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50DE""]}]}","recordedit"
"isa:project",NULL,"recordedit"
"isa:project",NULL,"recordedit"
"isa:project",NULL,"recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50E4""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-4XFJ""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-4XFJ""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-4XFJ""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1WWG""]}]}","recordedit"
"isa:dataset",NULL,"recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50E4""]}]}","recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"isa:project_publication","{""and"": [{""source"": ""RID"", ""choices"": [""1WWA""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50JC""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50JC""]}]}","recordedit"
"isa:enhancer",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"vocab:file_format",NULL,"recordedit"
"isa:dataset_chromosome","{""and"": [{""source"": ""RID"", ""choices"": [""1-50JC""]}]}","recordedit"
"isa:dataset_chromosome",NULL,"recordedit"
"isa:enhancer","{""and"": [{""source"": ""RID"", ""choices"": [""1-50JC""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50JC""]}]}","recordedit"
"isa:dataset","{""and"": [{""source"": ""RID"", ""choices"": [""1-50JC""]}]}","recordedit"
"vocab:file_format","{""and"": [{""search"": [""tif""], ""source"": ""*""}]}","recordedit"
"isa:biosample","{""and"": [{""source"": ""RID"", ""choices"": [""1-50JC""]}]}","recordedit"
