"c_table","c_facet"
"Protocol:Subject","{""and"": [{""source"": [{""inbound"": [""Protocol"", ""Protocol_Subject_Subject_Term_fkey""]}, {""outbound"": [""Protocol"", ""Protocol_Subject_Protocol_fkey""]}, ""RID""], ""choices"": [""N-H9A0""]}]}"
"Protocol:Protocol_Author","{""and"": [{""source"": [{""outbound"": [""Protocol"", ""Protocol_Author_Protocol_fkey""]}, ""RID""], ""choices"": [""N-H9A0""]}]}"
"RNASeq:Study","{""and"": [{""source"": ""RID"", ""choices"": [""Q-Y4GT""]}]}"
"RNASeq:Study_Cluster","{""and"": [{""source"": [{""outbound"": [""RNASeq"", ""Study_Cluster_Study_fkey""]}, ""RID""], ""choices"": [""Q-Y4GT""]}]}"
"Common:Collection","{""and"": [{""source"": [{""inbound"": [""RNASeq"", ""Sequencing_Study_Collection_Collection_RID_fkey""]}, {""outbound"": [""RNASeq"", ""Sequencing_Study_Collection_Sequencing_Study_RID_fkey""]}, ""RID""], ""choices"": [""Q-Y4GT""]}]}"
"RNASeq:Visualization","{""and"": [{""source"": [{""outbound"": [""RNASeq"", ""Visualization_Study_fkey""]}, ""RID""], ""choices"": [""Q-Y4GT""]}]}"
"RNASeq:Study_File","{""and"": [{""source"": [{""outbound"": [""RNASeq"", ""Study_File_Study_RID_fkey""]}, ""RID""], ""choices"": [""Q-Y4GT""]}]}"
"RNASeq:Study_Cluster_Group","{""and"": [{""source"": [{""outbound"": [""RNASeq"", ""Study_Cluster_Group_Study_fkey""]}, ""RID""], ""choices"": [""Q-Y4GT""]}]}"
"Protocol:Protocol","{""and"": [{""source"": ""RID"", ""choices"": [""N-H9D2""]}]}"
"Protocol:Protocol_Author","{""and"": [{""source"": [{""outbound"": [""Protocol"", ""Protocol_Author_Protocol_fkey""]}, ""RID""], ""choices"": [""N-H9D2""]}]}"
"Protocol:Figure","{""and"": [{""source"": [{""outbound"": [""Protocol"", ""Figure_Protocol_fkey""]}, ""RID""], ""choices"": [""N-H9D2""]}]}"
"Protocol:Reference","{""and"": [{""source"": [{""outbound"": [""Protocol"", ""Reference_Consortium_Protocol_fkey""]}, ""RID""], ""choices"": [""N-H9D2""]}]}"
"Protocol:Subject","{""and"": [{""source"": [{""inbound"": [""Protocol"", ""Protocol_Subject_Subject_Term_fkey""]}, {""outbound"": [""Protocol"", ""Protocol_Subject_Protocol_fkey""]}, ""RID""], ""choices"": [""N-H9D2""]}]}"
"Protocol:Keyword","{""and"": [{""source"": [{""inbound"": [""Protocol"", ""Protocol_Keyword_Keyword_Term_fkey""]}, {""outbound"": [""Protocol"", ""Protocol_Keyword_Protocol_fkey""]}, ""RID""], ""choices"": [""N-H9D2""]}]}"
"RNASeq:Study","{""and"": [{""source"": ""RID"", ""choices"": [""16-1ZS8""]}]}"
"RNASeq:Study_File","{""and"": [{""source"": [{""outbound"": [""RNASeq"", ""Study_File_Study_RID_fkey""]}, ""RID""], ""choices"": [""16-1ZS8""]}]}"
