"c_table","c_facet","c_cid"
"RNASeq:Experiment","{""and"": [{""source"": ""RID"", ""choices"": [""14-3PZY""]}]}","recordedit"
"RNASeq:Study_File","{""and"": [{""source"": ""RID"", ""choices"": [""W-RDAR""]}]}","recordedit"
"RNASeq:Study_File","{""and"": [{""source"": ""RID"", ""choices"": [""W-RDAR""]}]}","recordedit"
"RNASeq:Study_File","{""and"": [{""source"": ""RID"", ""choices"": [""W-RDB0""]}]}","recordedit"
"Vocab:File_Type",NULL,"recordedit"
"Vocab:File_Type",NULL,"recordedit"
"Vocab:File_Type",NULL,"recordedit"
"Vocab:File_Type",NULL,"recordedit"
"Vocab:File_Type",NULL,"recordedit"
"RNASeq:Study_File","{""and"": [{""source"": ""RID"", ""choices"": [""W-RDAR""]}]}","recordedit"
"RNASeq:Sequencing_Study_Collection","{""and"": [{""source"": ""Sequencing_Study_RID"", ""choices"": [""W-RAHW""]}, {""source"": ""Collection_RID"", ""choices"": [""W-R8CM""]}]}","recordedit"
"Common:Collection","{""and"": [{""source"": ""RID"", ""choices"": [""W-R8CM""]}]}","recordedit"
"Common:Collection","{""and"": [{""source"": ""RID"", ""choices"": [""W-R8CM""]}]}","recordedit"
"Cell_Line:Cell_Line","{""and"": [{""source"": ""RID"", ""choices"": [""14-3QDJ""]}]}","recordedit"
"Cell_Line:Parental_Cell_Line",NULL,"recordedit"
"Cell_Line:Parental_Cell_Line",NULL,"recordedit"
"Cell_Line:Parental_Cell_Line",NULL,"recordedit"
"Cell_Line:Parental_Cell_Line",NULL,"recordedit"
"Cell_Line:Parental_Cell_Line",NULL,"recordedit"
"Cell_Line:Parental_Cell_Line",NULL,"recordedit"
"Cell_Line:Parental_Cell_Line",NULL,"recordedit"
"Cell_Line:Parental_Cell_Line",NULL,"recordedit"
"Cell_Line:Parental_Cell_Line",NULL,"recordedit"
"Cell_Line:Parental_Cell_Line",NULL,"recordedit"
"Common:Consortium","{""and"": [{""source"": ""Name"", ""choices"": [""RBK""]}]}","recordedit"
"Vocab:Status",NULL,"recordedit"
"Vocab:Status","{""and"": [{""source"": ""Name"", ""choices"": [""Submitted""]}]}","recordedit"
"Common:Principal_Investigator",NULL,"recordedit"
"Common:Person",NULL,"recordedit"
"Vocab:Status",NULL,"recordedit"
"Common:Principal_Investigator",NULL,"recordedit"
"Vocab:Status",NULL,"recordedit"
"Common:Principal_Investigator",NULL,"recordedit"
"Vocab:Status",NULL,"recordedit"
"Common:Principal_Investigator",NULL,"recordedit"
"Vocab:Status",NULL,"recordedit"
"Common:Person","{""and"": [{""search"": [""jason""], ""source"": ""*""}]}","recordedit"
"Common:Principal_Investigator","{""and"": [{""source"": [{""outbound"": [""Common"", ""Principal_Investigator_Person2""]}, ""RID""], ""choices"": [""14-3Q8M""]}]}","recordedit"
"Common:Principal_Investigator","{""and"": [{""source"": [{""outbound"": [""Common"", ""Principal_Investigator_Person2""]}, ""RID""], ""choices"": [""14-3Q8M""]}]}","recordedit"
"Common:Principal_Investigator",NULL,"recordedit"
"Common:Principal_Investigator",NULL,"recordedit"
"Common:Principal_Investigator",NULL,"recordedit"
"Gene_Expression:Allele",NULL,"recordedit"
"Antibody:Antibodies",NULL,"recordedit"
"Antibody:Antibodies",NULL,"recordedit"
"Antibody:Antibodies",NULL,"recordedit"
"Antibody:Antibody_Media_Files",NULL,"recordedit"
"Antibody:Antibody_Tests",NULL,"recordedit"
"Cell_Line:Cell_Line_Asset",NULL,"recordedit"
"Cell_Line:Cell_Line_BAM_Files",NULL,"recordedit"
"Common:Collection",NULL,"recordedit"
"Gene_Expression:Allele",NULL,"recordedit"
"RNASeq:Experiment",NULL,"recordedit"
"RNASeq:File",NULL,"recordedit"
"Documents:File",NULL,"recordedit"
"Gene_Expression:Image",NULL,"recordedit"
"Cell_Line:Mouse_Strain",NULL,"recordedit"
"Cell_Line:Mouse_Strain_Documents",NULL,"recordedit"
"Cell_Line:Parental_Cell_Line",NULL,"recordedit"
"Protocol:Protocol",NULL,"recordedit"
"Common:Provenance",NULL,"recordedit"
"Common:Person","{""and"": [{""search"": [""jason""], ""source"": ""*""}]}","recordedit"
"Common:Principal_Investigator","{""and"": [{""source"": [{""outbound"": [""Common"", ""Principal_Investigator_Person2""]}, ""RID""], ""choices"": [""14-3Q8M""]}, {""source"": ""Is_GUDMAP_PI"", ""choices"": [false]}]}","recordedit"
"Common:Principal_Investigator","{""and"": [{""source"": [{""outbound"": [""Common"", ""Principal_Investigator_Person2""]}, ""RID""], ""choices"": [""14-3Q8M""]}, {""source"": ""Is_GUDMAP_PI"", ""choices"": [false]}]}","recordedit"
"Common:Principal_Investigator",NULL,"recordedit"
"Common:Principal_Investigator",NULL,"recordedit"
"Gene_Expression:Allele",NULL,"recordedit"
"Antibody:Antibodies",NULL,"recordedit"
"Antibody:Antibody_Media_Files",NULL,"recordedit"
"Antibody:Antibody_Tests",NULL,"recordedit"
"Cell_Line:Cell_Line_Asset",NULL,"recordedit"
"Cell_Line:Cell_Line_BAM_Files",NULL,"recordedit"
"Common:Collection",NULL,"recordedit"
"RNASeq:Experiment",NULL,"recordedit"
"RNASeq:File",NULL,"recordedit"
"Documents:File",NULL,"recordedit"
"Gene_Expression:Image",NULL,"recordedit"
"Cell_Line:Mouse_Strain",NULL,"recordedit"
"Cell_Line:Mouse_Strain_Documents",NULL,"recordedit"
"Cell_Line:Parental_Cell_Line",NULL,"recordedit"
"Protocol:Protocol",NULL,"recordedit"
"Common:Principal_Investigator","{""and"": [{""source"": [{""outbound"": [""Common"", ""Principal_Investigator_Person2""]}, ""RID""], ""choices"": [""14-3Q8M""]}, {""source"": ""Is_GUDMAP_PI"", ""choices"": [false]}, {""source"": ""Is_RBK_PI"", ""choices"": [true]}]}","recordedit"
"Common:Principal_Investigator","{""and"": [{""source"": [{""outbound"": [""Common"", ""Principal_Investigator_Person2""]}, ""RID""], ""choices"": [""14-3Q8M""]}, {""source"": ""Is_GUDMAP_PI"", ""choices"": [false]}, {""source"": ""Is_RBK_PI"", ""choices"": [true]}]}","recordedit"
"Common:Person","{""and"": [{""search"": [""jason""], ""source"": ""*""}]}","recordedit"
"Common:Principal_Investigator",NULL,"recordedit"
"Common:Principal_Investigator",NULL,"recordedit"
