"c_table","c_facet","c_cid"
"Zebrafish:Image Region","{""and"": [{""source"": ""RID"", ""choices"": [""1EBR""]}]}","record"
"Zebrafish:Image Region","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Region_QA_Source_fkey""]}, ""RID""], ""choices"": [""1EBR""]}]}","record"
"Zebrafish:Nucleic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Nucleic Pair Study_Nuc 1_fkey""]}, ""RID""], ""choices"": [""1EBR""]}]}","record"
"Zebrafish:Image Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Pair Study_Nuc 2_fkey""]}, ""RID""], ""choices"": [""1EBR""]}]}","record"
"Zebrafish:Nucleic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Nucleic Pair Study_Nuc 2_fkey""]}, ""RID""], ""choices"": [""1EBR""]}]}","record"
"Zebrafish:Image Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Pair Study_Nuc 1_fkey""]}, ""RID""], ""choices"": [""1EBR""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Synaptic Pair Study_Syn 2_fkey""]}, ""RID""], ""choices"": [""1EBR""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Synaptic Pair Study_Syn 1_fkey""]}, ""RID""], ""choices"": [""1EBR""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": ""RID"", ""choices"": [""1EBC""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image_Source Image_fkey""]}, ""RID""], ""choices"": [""1EBC""]}]}","record"
"Zebrafish:Alignment Standard","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Alignment Standard_Image1""]}, ""RID""], ""choices"": [""1EBC""]}]}","record"
"Zebrafish:Image Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Pair Study_Image 2_fkey""]}, ""RID""], ""choices"": [""1EBC""]}]}","record"
"Zebrafish:Image Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Pair Study_Image 1_fkey""]}, ""RID""], ""choices"": [""1EBC""]}]}","record"
"Zebrafish:Image Region","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Region_Source Image_fkey""]}, ""RID""], ""choices"": [""1EBC""]}]}","record"
"Zebrafish:Image Region","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Region_Source Image_Subject_fkey""]}, ""RID""], ""choices"": [""1EBC""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Synaptic Pair Study_Image 1_fkey""]}, ""RID""], ""choices"": [""1EBC""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Synaptic Pair Study_Image 2_fkey""]}, ""RID""], ""choices"": [""1EBC""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": ""RID"", ""choices"": [""1EBJ""]}]}","record"
"Zebrafish:Alignment Standard","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Alignment Standard_Image1""]}, ""RID""], ""choices"": [""1EBJ""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image_Source Image_fkey""]}, ""RID""], ""choices"": [""1EBJ""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Synaptic Pair Study_Image 1_fkey""]}, ""RID""], ""choices"": [""1EBJ""]}]}","record"
"Zebrafish:Image Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Pair Study_Image 1_fkey""]}, ""RID""], ""choices"": [""1EBJ""]}]}","record"
"Zebrafish:Image Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Pair Study_Image 2_fkey""]}, ""RID""], ""choices"": [""1EBJ""]}]}","record"
"Zebrafish:Image Region","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Region_Source Image_fkey""]}, ""RID""], ""choices"": [""1EBJ""]}]}","record"
"Zebrafish:Image Region","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Region_Source Image_Subject_fkey""]}, ""RID""], ""choices"": [""1EBJ""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Synaptic Pair Study_Image 2_fkey""]}, ""RID""], ""choices"": [""1EBJ""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": ""RID"", ""choices"": [""1EBJ""]}]}","record"
"Zebrafish:Alignment Standard","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Alignment Standard_Image1""]}, ""RID""], ""choices"": [""1EBJ""]}]}","record"
"Zebrafish:Image Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Pair Study_Image 1_fkey""]}, ""RID""], ""choices"": [""1EBJ""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image_Source Image_fkey""]}, ""RID""], ""choices"": [""1EBJ""]}]}","record"
"Zebrafish:Image Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Pair Study_Image 2_fkey""]}, ""RID""], ""choices"": [""1EBJ""]}]}","record"
"Zebrafish:Image Region","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Region_Source Image_fkey""]}, ""RID""], ""choices"": [""1EBJ""]}]}","record"
"Zebrafish:Image Region","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Region_Source Image_Subject_fkey""]}, ""RID""], ""choices"": [""1EBJ""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Synaptic Pair Study_Image 1_fkey""]}, ""RID""], ""choices"": [""1EBJ""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Synaptic Pair Study_Image 2_fkey""]}, ""RID""], ""choices"": [""1EBJ""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": ""RID"", ""choices"": [""1EBC""]}]}","record"
"Zebrafish:Alignment Standard","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Alignment Standard_Image1""]}, ""RID""], ""choices"": [""1EBC""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image_Source Image_fkey""]}, ""RID""], ""choices"": [""1EBC""]}]}","record"
"Zebrafish:Image Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Pair Study_Image 1_fkey""]}, ""RID""], ""choices"": [""1EBC""]}]}","record"
"Zebrafish:Image Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Pair Study_Image 2_fkey""]}, ""RID""], ""choices"": [""1EBC""]}]}","record"
"Zebrafish:Image Region","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Region_Source Image_Subject_fkey""]}, ""RID""], ""choices"": [""1EBC""]}]}","record"
"Zebrafish:Image Region","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Region_Source Image_fkey""]}, ""RID""], ""choices"": [""1EBC""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Synaptic Pair Study_Image 1_fkey""]}, ""RID""], ""choices"": [""1EBC""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Synaptic Pair Study_Image 2_fkey""]}, ""RID""], ""choices"": [""1EBC""]}]}","record"
"Zebrafish:Image Region","{""and"": [{""source"": ""RID"", ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Image Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Pair Study_Nuc 2_fkey""]}, ""RID""], ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Image Region","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Region_QA_Source_fkey""]}, ""RID""], ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Synaptic Pair Study_Syn 1_fkey""]}, ""RID""], ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Image Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image Pair Study_Nuc 1_fkey""]}, ""RID""], ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Nucleic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Nucleic Pair Study_Nuc 1_fkey""]}, ""RID""], ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Nucleic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Nucleic Pair Study_Nuc 2_fkey""]}, ""RID""], ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Synaptic Pair Study","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Synaptic Pair Study_Syn 2_fkey""]}, ""RID""], ""choices"": [""1EC2""]}]}","record"
"Zebrafish:Subject","{""and"": [{""source"": ""ID"", ""choices"": [""ZfZdu20190730A""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Image_Subject_fkey""]}, ""RID""], ""choices"": [""1EB0""]}]}","record"
"Zebrafish:Behavior","{""and"": [{""source"": [{""outbound"": [""Zebrafish"", ""Behavior_Subject_fkey""]}, ""RID""], ""choices"": [""1EB0""]}]}","record"
"Zebrafish:Image","{""and"": [{""source"": ""RID"", ""choices"": [""1RW""]}]}","record"
