"c_table","c_facet","c_cid"
"Zebrafish:Image","{""and"": [{""source"": ""RID"", ""choices"": [""1EBJ""]}]}","recordedit"
"Zebrafish:Image","{""and"": [{""source"": ""RID"", ""choices"": [""1EBJ""]}]}","recordedit"
"Zebrafish:Image","{""and"": [{""source"": ""RID"", ""choices"": [""1EBC""]}]}","recordedit"
"Zebrafish:Image","{""and"": [{""source"": ""RID"", ""choices"": [""1EBC""]}]}","recordedit"
"Zebrafish:Image","{""and"": [{""source"": ""RID"", ""choices"": [""1EBC""]}]}","recordedit"
"Zebrafish:Brain Anatomy",NULL,"recordedit"
"Zebrafish:Image",NULL,"recordedit"
"Zebrafish:Image",NULL,"recordedit"
"Zebrafish:Image",NULL,"recordedit"
"Zebrafish:Image",NULL,"recordedit"
"Zebrafish:Image","{""and"": [{""search"": [""20170317A3""], ""source"": ""*""}]}","recordedit"
"Zebrafish:Brain Anatomy",NULL,"recordedit"
"Zebrafish:Image","{""and"": [{""search"": [""20170317A3""], ""source"": ""*""}]}","recordedit"
"Zebrafish:Image","{""and"": [{""search"": [""20170317A3""], ""source"": ""*""}]}","recordedit"
"Zebrafish:Brain Anatomy",NULL,"recordedit"
"Zebrafish:Image","{""and"": [{""search"": [""20170317A3""], ""source"": ""*""}]}","recordedit"
"Zebrafish:Brain Anatomy",NULL,"recordedit"
"Zebrafish:Brain Anatomy",NULL,"recordedit"
"Zebrafish:Brain Anatomy",NULL,"recordedit"
"Zebrafish:Brain Anatomy",NULL,"recordedit"
"Zebrafish:Brain Anatomy",NULL,"recordedit"
"Zebrafish:Segmentation Mode",NULL,"recordedit"
"Zebrafish:Segmentation Mode",NULL,"recordedit"
"Zebrafish:Segmentation Mode",NULL,"recordedit"
"Zebrafish:Segmentation Mode",NULL,"recordedit"
"Zebrafish:Segmentation Mode",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Synapse:Person",NULL,"recordedit"
"Zebrafish:Image Region",NULL,"recordedit"
"Zebrafish:Image",NULL,"recordedit"
"Zebrafish:Brain Anatomy",NULL,"recordedit"
"Zebrafish:Image",NULL,"recordedit"
"Zebrafish:Brain Anatomy",NULL,"recordedit"
"Zebrafish:Image",NULL,"recordedit"
"Zebrafish:Image",NULL,"recordedit"
"Zebrafish:Image","{""and"": [{""search"": [""ImgZfZdu20190730A3""], ""source"": ""*""}]}","recordedit"
"Zebrafish:Image","{""and"": [{""search"": [""ImgZfZdu20190730A3""], ""source"": ""*""}]}","recordedit"
"Zebrafish:Image","{""and"": [{""search"": [""ImgZfZdu20190730A3""], ""source"": ""*""}]}","recordedit"
"Zebrafish:Image","{""and"": [{""search"": [""ImgZfZdu20190730A3""], ""source"": ""*""}]}","recordedit"
"Zebrafish:Brain Anatomy",NULL,"recordedit"
"Zebrafish:Brain Anatomy",NULL,"recordedit"
"Zebrafish:Brain Anatomy",NULL,"recordedit"
"Zebrafish:Brain Anatomy",NULL,"recordedit"
"Zebrafish:Brain Anatomy",NULL,"recordedit"
"Zebrafish:Brain Anatomy",NULL,"recordedit"
