"c_table","c_facet","c_cid"
"Zebrafish:Brain Anatomy",NULL,"recordset"
"Zebrafish:Image",NULL,"recordset"
"Zebrafish:Image",NULL,"recordset"
"Zebrafish:Image",NULL,"recordset"
"Zebrafish:Image",NULL,"recordset"
"Zebrafish:Image","{""and"": [{""search"": [""ImgZfZdu20190730A3""], ""source"": ""*""}]}","recordset"
"Zebrafish:Image","{""and"": [{""search"": [""ImgZfZdu20190730A3""], ""source"": ""*""}]}","recordset"
"Zebrafish:Brain Anatomy",NULL,"recordset"
"Zebrafish:Image","{""and"": [{""search"": [""ImgZfZdu20190730A3""], ""source"": ""*""}]}","recordset"
"Zebrafish:Brain Anatomy",NULL,"recordset"
"Zebrafish:Image","{""and"": [{""search"": [""ImgZfZdu20190730A3""], ""source"": ""*""}]}","recordset"
"Zebrafish:Image","{""and"": [{""search"": [""ImgZfZdu20190730A6""], ""source"": ""*""}]}","recordset"
"Zebrafish:Image","{""and"": [{""search"": [""ImgZfZdu20190730A6""], ""source"": ""*""}]}","recordset"
"Zebrafish:Brain Anatomy",NULL,"recordset"
"Zebrafish:Genetic Background",NULL,"recordset"
"Zebrafish:Subject",NULL,"recordset"
"Zebrafish:Subject",NULL,"recordset"
"Zebrafish:Subject",NULL,"recordset"
"Zebrafish:Subject",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Synapse:Protocol",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
"Zebrafish:Behavior",NULL,"recordset"
